date,component,horizon_days,revision,value_usd,p10,p50,p90,n_inputs,method_version
2026-09-17,L,30,1,3.6595,,,,35,1.0.0+4b8640d50d57
2026-09-17,L,91,1,3.747178,,,,31,1.0.0+4b8640d50d57
2026-09-17,L,182,1,3.747178,,,,29,1.0.0+4b8640d50d57
2026-09-17,L,365,1,3.747178,,,,29,1.0.0+4b8640d50d57
2026-09-17,M,30,1,,,,,0,1.0.0+4b8640d50d57
2026-09-17,M,91,1,,,,,0,1.0.0+4b8640d50d57
2026-09-17,M,182,1,,,,,0,1.0.0+4b8640d50d57
2026-09-17,M,365,1,,,,,0,1.0.0+4b8640d50d57
2026-09-17,T,30,1,,,,,0,1.0.0+4b8640d50d57
2026-09-17,T,91,1,,,,,0,1.0.0+4b8640d50d57
2026-09-17,T,182,1,,,,,0,1.0.0+4b8640d50d57
2026-09-17,T,365,1,,,,,0,1.0.0+4b8640d50d57
